time,node,remaining_energy_j
7.2,25,19.6112
7.2,26,19.6019
7.2,27,19.5950
7.2,28,19.5450
7.2,29,19.6211
7.2,30,19.6355
7.2,31,19.5728
7.2,32,19.6499
7.2,33,19.6177
7.2,34,19.6231
7.2,35,19.5129
7.2,36,19.5808
7.2,37,19.5110
7.2,38,19.5877
7.2,39,19.5822
7.2,40,19.5813
7.2,41,19.5883
7.2,42,19.5848
7.2,43,19.5905
7.2,44,19.5407
7.2,45,19.6460
7.2,46,19.5529
7.2,47,19.5972
7.2,48,19.5534
7.2,49,19.5507
7.2,50,19.5752
7.2,51,19.6311
7.2,52,19.6014
7.2,53,19.6223
7.2,54,19.5194
7.2,55,19.5296
7.2,56,19.5649
7.2,57,19.5896
7.2,58,19.5959
7.2,59,19.6047
7.2,60,19.5329
7.2,61,19.6205
7.2,62,19.5526
7.2,63,19.6120
7.2,64,19.5876
7.2,65,19.6153
7.2,66,19.5644
7.2,67,19.5643
7.2,68,19.5766
7.2,69,19.5807
7.2,70,19.5272
7.2,71,19.5933
7.2,72,19.5538
7.2,73,19.5497
7.2,74,19.5726
7.2,75,19.5399
7.2,76,19.5560
7.2,77,19.6021
7.2,78,19.6230
7.2,79,19.5579
7.2,80,19.5371
7.2,81,19.6277
7.2,82,19.5299
7.2,83,19.5577
7.2,84,19.6088
7.2,85,19.6367
7.2,86,19.5468
7.2,87,19.6081
7.2,88,19.5422
7.2,89,19.5956
7.2,90,19.6006
7.2,91,19.5670
7.2,92,19.5197
7.2,93,19.6239
7.2,94,19.5163
7.2,95,19.6254
7.2,96,19.6346
7.2,97,19.6208
7.2,98,19.5881
7.2,99,19.6153
8.2,0,19.4832
8.2,1,19.5864
8.2,2,19.4894
8.2,3,19.4528
8.2,4,19.5156
8.2,5,19.4464
8.2,6,19.5805
8.2,7,19.5208
8.2,8,19.5308
8.2,9,19.4985
8.2,10,19.4984
8.2,11,19.5312
8.2,12,19.4440
8.2,13,19.5792
8.2,14,19.5772
8.2,15,19.5554
8.2,16,19.5220
8.2,17,19.5081
8.2,18,19.4791
8.2,19,19.5761
8.2,20,19.5465
8.2,21,19.4854
8.2,22,19.4532
8.2,23,19.5430
8.2,24,19.5786
8.2,25,19.4969
8.2,26,19.5543
8.2,27,19.4961
8.2,28,19.4619
8.2,29,19.4985
8.2,30,19.5879
8.2,31,19.5305
8.2,32,19.5966
8.2,33,19.5592
8.2,34,19.5949
8.2,35,19.5151
8.2,36,19.4545
8.2,37,19.4810
8.2,38,19.4705
8.2,39,19.4411
8.2,40,19.5182
8.2,41,19.4958
8.2,42,19.5311
8.2,43,19.5105
8.2,44,19.5914
8.2,45,19.5760
8.2,46,19.5787
8.2,47,19.5689
8.2,48,19.4956
8.2,49,19.5265
8.2,50,19.5571
8.2,51,19.4643
8.2,52,19.4544
8.2,53,19.4724
8.2,54,19.5306
8.2,55,19.5544
8.2,56,19.4765
8.2,57,19.5266
8.2,58,19.4547
8.2,59,19.4883
8.2,60,19.4856
8.2,61,19.4772
8.2,62,19.5655
8.2,63,19.5874
8.2,64,19.5475
8.2,65,19.4910
8.2,66,19.5479
8.2,67,19.5252
8.2,68,19.5783
8.2,69,19.4702
8.2,70,19.4434
8.2,71,19.5990
8.2,72,19.4481
8.2,73,19.5118
8.2,74,19.5678
8.2,75,19.5609
8.2,76,19.4563
8.2,77,19.5986
8.2,78,19.5889
8.2,79,19.4751
8.2,80,19.5122
8.2,81,19.4752
8.2,82,19.5910
8.2,83,19.5948
8.2,84,19.5716
8.2,85,19.4762
8.2,86,19.4600
8.2,87,19.5937
8.2,88,19.5794
8.2,89,19.5091
8.2,90,19.4818
8.2,91,19.5997
8.2,92,19.4735
8.2,93,19.4408
8.2,94,19.5991
8.2,95,19.5456
8.2,96,19.5100
8.2,97,19.4655
8.2,98,19.4972
8.2,99,19.5901
9.2,0,19.4630
9.2,1,19.4631
9.2,2,19.4303
9.2,3,19.5104
9.2,4,19.5410
9.2,5,19.4050
9.2,6,19.5053
9.2,7,19.4110
9.2,8,19.5451
9.2,9,19.4742
9.2,10,19.4247
9.2,11,19.4934
9.2,12,19.3993
9.2,13,19.4983
9.2,14,19.5416
9.2,15,19.5288
9.2,16,19.4463
9.2,17,19.4174
9.2,18,19.3760
9.2,19,19.3737
9.2,20,19.4849
9.2,21,19.5168
9.2,22,19.5074
9.2,23,19.4303
9.2,24,19.4149
9.2,25,19.3913
9.2,26,19.3871
9.2,27,19.4710
9.2,28,19.4218
9.2,29,19.4614
9.2,30,19.4535
9.2,31,19.4486
9.2,32,19.5251
9.2,33,19.5080
9.2,34,19.4859
9.2,35,19.5327
9.2,36,19.4233
9.2,37,19.4287
9.2,38,19.4187
9.2,39,19.3881
9.2,40,19.4393
9.2,41,19.4053
9.2,42,19.3957
9.2,43,19.3729
9.2,44,19.4258
9.2,45,19.3945
9.2,46,19.5449
9.2,47,19.5181
9.2,48,19.5463
9.2,49,19.5223
9.2,50,19.4992
9.2,51,19.3710
9.2,52,19.4387
9.2,53,19.4610
9.2,54,19.4790
9.2,55,19.5226
9.2,56,19.4965
9.2,57,19.4585
9.2,58,19.4541
9.2,59,19.5060
9.2,60,19.5432
9.2,61,19.5277
9.2,62,19.5483
9.2,63,19.4369
9.2,64,19.5162
9.2,65,19.3988
9.2,66,19.3767
9.2,67,19.4614
9.2,68,19.4465
9.2,69,19.4112
9.2,70,19.3938
9.2,71,19.4799
9.2,72,19.5074
9.2,73,19.5487
9.2,74,19.4882
9.2,75,19.5002
9.2,76,19.4061
9.2,77,19.4032
9.2,78,19.5441
9.2,79,19.4052
9.2,80,19.4639
9.2,81,19.4515
9.2,82,19.5300
9.2,83,19.5145
9.2,84,19.3856
9.2,85,19.4634
9.2,86,19.4450
9.2,87,19.4241
9.2,88,19.3869
9.2,89,19.3924
9.2,90,19.5386
9.2,91,19.5340
9.2,92,19.4739
9.2,93,19.4438
9.2,94,19.4511
9.2,95,19.5243
9.2,96,19.4095
9.2,97,19.3761
9.2,98,19.4381
9.2,99,19.4062
10.2,0,19.4673
10.2,1,19.4415
10.2,2,19.4387
10.2,3,19.3325
10.2,4,19.4736
10.2,5,19.3559
10.2,6,19.4776
10.2,7,19.3501
10.2,8,19.3599
10.2,9,19.3288
10.2,10,19.3275
10.2,11,19.4277
10.2,12,19.3404
10.2,13,19.3101
10.2,14,19.4830
10.2,15,19.4422
10.2,16,19.4399
10.2,17,19.3170
10.2,18,19.3970
10.2,19,19.4614
10.2,20,19.3513
10.2,21,19.3397
10.2,22,19.4022
10.2,23,19.3370
10.2,24,19.3147
10.2,25,19.4261
10.2,26,19.3607
10.2,27,19.4990
10.2,28,19.3775
10.2,29,19.4288
10.2,30,19.3745
10.2,31,19.3067
10.2,32,19.4343
10.2,33,19.4675
10.2,34,19.3917
10.2,35,19.4290
10.2,36,19.3501
10.2,37,19.3359
10.2,38,19.4391
10.2,39,19.4553
10.2,40,19.3681
10.2,41,19.3147
10.2,42,19.3034
10.2,43,19.4308
10.2,44,19.4844
10.2,45,19.3689
10.2,46,19.4847
10.2,47,19.3454
10.2,48,19.3237
10.2,49,19.4089
10.2,50,19.3318
10.2,51,19.4443
10.2,52,19.4500
10.2,53,19.4737
10.2,54,19.3627
10.2,55,19.3700
10.2,56,19.3662
10.2,57,19.4727
10.2,58,19.3238
10.2,59,19.4491
10.2,60,19.4797
10.2,61,19.3497
10.2,62,19.3337
10.2,63,19.3527
10.2,64,19.4711
10.2,65,19.3467
10.2,66,19.4983
10.2,67,19.3470
10.2,68,19.3357
10.2,69,19.4335
10.2,70,19.3335
10.2,71,19.4907
10.2,72,19.3063
10.2,73,19.4320
10.2,74,19.4796
10.2,75,19.3351
10.2,76,19.3006
10.2,77,19.3089
10.2,78,19.4656
10.2,79,19.4550
10.2,80,19.3533
10.2,81,19.3144
10.2,82,19.4318
10.2,83,19.4467
10.2,84,19.4511
10.2,85,19.4920
10.2,86,19.3610
10.2,87,19.4141
10.2,88,19.3893
10.2,89,19.3581
10.2,90,19.4631
10.2,91,19.4544
10.2,92,19.4021
10.2,93,19.3758
10.2,94,19.4887
10.2,95,19.4054
10.2,96,19.3439
10.2,97,19.4075
10.2,98,19.3561
10.2,99,19.4925
11.2,0,19.3898
11.2,1,19.4193
11.2,2,19.3933
11.2,3,19.3319
11.2,4,19.4498
11.2,5,19.2417
11.2,6,19.3987
11.2,7,19.4326
11.2,8,19.2744
11.2,9,19.4171
11.2,10,19.3311
11.2,11,19.4082
11.2,12,19.3802
11.2,13,19.3188
11.2,14,19.3445
11.2,15,19.3134
11.2,16,19.3938
11.2,17,19.4320
11.2,18,19.3265
11.2,19,19.2606
11.2,20,19.4356
11.2,21,19.3979
11.2,22,19.3284
11.2,23,19.3157
11.2,24,19.3803
11.2,25,19.3734
11.2,26,19.3698
11.2,27,19.3849
11.2,28,19.3325
11.2,29,19.4139
11.2,30,19.4377
11.2,31,19.3356
11.2,32,19.3642
11.2,33,19.3140
11.2,34,19.4058
11.2,35,19.3208
11.2,36,19.3688
11.2,37,19.3657
11.2,38,19.2462
11.2,39,19.3019
11.2,40,19.3709
11.2,41,19.3794
11.2,42,19.2316
11.2,43,19.3240
11.2,44,19.3150
11.2,45,19.4045
11.2,46,19.2723
11.2,47,19.3305
11.2,48,19.4283
11.2,49,19.3540
11.2,50,19.3211
11.2,51,19.4478
11.2,52,19.4446
11.2,53,19.3960
11.2,54,19.2335
11.2,55,19.3500
11.2,56,19.3257
11.2,57,19.4146
11.2,58,19.2543
11.2,59,19.4011
11.2,60,19.3997
11.2,61,19.3232
11.2,62,19.4217
11.2,63,19.3724
11.2,64,19.2424
11.2,65,19.2909
11.2,66,19.2862
11.2,67,19.3966
11.2,68,19.3012
11.2,69,19.3073
11.2,70,19.3849
11.2,71,19.3945
11.2,72,19.3238
11.2,73,19.2757
11.2,74,19.2692
11.2,75,19.3063
11.2,76,19.3107
11.2,77,19.4130
11.2,78,19.4384
11.2,79,19.2790
11.2,80,19.2979
11.2,81,19.4166
11.2,82,19.2739
11.2,83,19.2944
11.2,84,19.2957
11.2,85,19.2422
11.2,86,19.2886
11.2,87,19.3777
11.2,88,19.4229
11.2,89,19.3879
11.2,90,19.2493
11.2,91,19.2905
11.2,92,19.2339
11.2,93,19.4411
11.2,94,19.3489
11.2,95,19.3778
11.2,96,19.3745
11.2,97,19.2926
11.2,98,19.3250
11.2,99,19.2821
12.2,0,19.1794
12.2,1,19.1838
12.2,2,19.2433
12.2,3,19.2417
12.2,4,19.2306
12.2,5,19.3905
12.2,6,19.3186
12.2,7,19.2588
12.2,8,19.2841
12.2,9,19.2278
12.2,10,19.2442
12.2,11,19.2824
12.2,12,19.2745
12.2,13,19.2482
12.2,14,19.3708
12.2,15,19.3805
12.2,16,19.3008
12.2,17,19.3065
12.2,18,19.3367
12.2,19,19.1859
12.2,20,19.3075
12.2,21,19.3042
12.2,22,19.2404
12.2,23,19.2659
12.2,24,19.2516
12.2,25,19.3170
12.2,26,19.3356
12.2,27,19.1730
12.2,28,19.1688
12.2,29,19.3185
12.2,30,19.2236
12.2,31,19.3323
12.2,32,19.3687
12.2,33,19.3885
12.2,34,19.3426
12.2,35,19.3279
12.2,36,19.2958
12.2,37,19.3530
12.2,38,19.1876
12.2,39,19.3957
12.2,40,19.1947
12.2,41,19.2207
12.2,42,19.1606
12.2,43,19.3944
12.2,44,19.3632
12.2,45,19.3664
